pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
50,c,15,2,62,2,,,,,186.36424819985405,187.36392039991915,187.36392039991915,187.36392039991915,187.36392039991915,187.36392039991915,188.36357209994458,188.36357209994458,c,1,1.611569399945438,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
-150,z,15,3,63,3,,,,,189.9960028999485,190.99602900003083,190.99602900003083,190.99602900003083,190.99602900003083,190.99602900003083,191.99573870003223,191.99573870003223,z,1,0.9008071001153439,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
-50,x,16,0,64,0,,,,,192.92891629994847,193.92853699997067,193.92853699997067,193.92853699997067,193.92853699997067,193.92853699997067,194.92797739990056,194.92797739990056,x,1,0.8097584000788629,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
150,v,16,1,65,1,,,,,195.76109119993635,196.76062830002047,196.76062830002047,196.76062830002047,196.76062830002047,196.76062830002047,197.76023839996196,197.76023839996196,v,1,0.9558995999395847,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
50,c,16,2,66,2,,,,,198.74338929983787,199.74307559989393,199.74307559989393,199.74307559989393,199.74307559989393,199.74307559989393,200.74276489997283,200.74276489997283,c,1,1.0551517002750188,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
-150,z,16,3,67,3,,,,,201.8256848999299,202.8253009999171,202.8253009999171,202.8253009999171,202.8253009999171,202.8253009999171,203.82501449994743,203.82501449994743,z,1,0.8773061002139002,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
-50,x,17,0,68,0,,,,,204.72461569984443,205.7241410999559,205.7241410999559,205.7241410999559,205.7241410999559,205.7241410999559,206.72400889988057,206.72400889988057,x,1,0.8984185999725014,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
150,v,17,1,69,1,,,,,207.64071619999595,208.64034619997256,208.64034619997256,208.64034619997256,208.64034619997256,208.64034619997256,209.63966779992916,209.63966779992916,v,1,0.8426839001476765,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
50,c,17,2,70,2,,,,,210.5062484999653,211.5058444000315,211.5058444000315,211.5058444000315,211.5058444000315,211.5058444000315,212.50538669992238,212.50538669992238,c,1,0.8328186001162976,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
-150,z,17,3,71,3,,,,,213.35498119983822,214.35489029996097,214.35489029996097,214.35489029996097,214.35489029996097,214.35489029996097,215.3543632000219,215.3543632000219,z,1,1.045934600289911,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
-50,x,18,0,72,0,,,,,216.4209036999382,217.4205785000231,217.4205785000231,217.4205785000231,217.4205785000231,217.4205785000231,218.42022289987653,218.42022289987653,x,1,0.7883105999790132,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
150,v,18,1,73,1,,,,,219.23640279984102,220.2360007998068,220.2360007998068,220.2360007998068,220.2360007998068,220.2360007998068,221.2355353999883,221.2355353999883,v,1,0.9239239001180977,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
50,c,18,2,74,2,,,,,222.18556979997084,223.18518449994735,223.18518449994735,223.18518449994735,223.18518449994735,223.18518449994735,224.18488879990764,224.18488879990764,c,1,0.7680083001032472,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
-150,z,18,3,75,3,,,,,224.9847849998623,225.984235299984,225.984235299984,225.984235299984,225.984235299984,225.984235299984,226.98398389993235,226.98398389993235,z,1,1.1464379001408815,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
-50,x,19,0,76,0,,,,,228.15032629994676,229.1499768998474,229.1499768998474,229.1499768998474,229.1499768998474,229.1499768998474,230.1493869998958,230.1493869998958,x,1,0.4757017001975328,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
150,v,19,1,77,1,,,,,230.64928409992717,231.64871759992093,231.64871759992093,231.64871759992093,231.64871759992093,231.64871759992093,232.64861499983817,232.64861499983817,v,1,0.22351580020040274,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
